,position,dob,country,dob_converted,mob
0,1GK,(2002-05-17) 17 May 2002 (age 19),Brazil,2002-05-17,5
1,1GK,(2002-12-20) 20 December 2002 (age 18),Brazil,2002-12-20,12
2,1GK,(2002-02-25) 25 February 2002 (age 19),Brazil,2002-02-25,2
4,2DF,(2002-06-03) 3 June 2002 (age 19),Brazil,2002-06-03,6
5,2DF,(2002-02-19) 19 February 2002 (age 19),Brazil,2002-02-19,2
6,2DF,(2002-01-20) 20 January 2002 (age 19),Brazil,2002-01-20,1
7,2DF,(2003-01-18) 18 January 2003 (age 18),Brazil,2003-01-18,1
8,2DF,(2002-01-04) 4 January 2002 (age 19),Brazil,2002-01-04,1
9,2DF,(2002-01-25) 25 January 2002 (age 19),Brazil,2002-01-25,1
10,2DF,(2002-05-19) 19 May 2002 (age 19),Brazil,2002-05-19,5
12,3MF,(2002-05-14) 14 May 2002 (age 19),Brazil,2002-05-14,5
13,3MF,(2002-08-02) 2 August 2002 (age 19),Brazil,2002-08-02,8
14,3MF,(2002-08-30) 30 August 2002 (age 18),Brazil,2002-08-30,8
15,3MF,(2002-10-12) 12 October 2002 (age 18),Brazil,2002-10-12,10
16,3MF,(2002-05-22) 22 May 2002 (age 19),Brazil,2002-05-22,5
17,3MF,(2002-07-26) 26 July 2002 (age 19),Brazil,2002-07-26,7
19,4FW,(2002-09-03) 3 September 2002 (age 18),Brazil,2002-09-03,9
20,4FW,(2002-01-24) 24 January 2002 (age 19),Brazil,2002-01-24,1
21,4FW,(2002-01-07) 7 January 2002 (age 19),Brazil,2002-01-07,1
22,4FW,(2002-06-26) 26 June 2002 (age 19),Brazil,2002-06-26,6
23,4FW,(2002-03-12) 12 March 2002 (age 19),Brazil,2002-03-12,3
24,1GK,(2003-03-01) 1 March 2003 (age 18)[22],England,2003-03-01,3
25,1GK,(2003-05-02) 2 May 2003 (age 18)[23],England,2003-05-02,5
26,1GK,(2003-01-19) 19 January 2003 (age 18),England,2003-01-19,1
28,2DF,(2003-08-28) 28 August 2003 (age 17),England,2003-08-28,8
29,2DF,(2003-12-18) 18 December 2003 (age 17)[24],England,2003-12-18,12
30,2DF,(2003-10-19) 19 October 2003 (age 17),England,2003-10-19,10
31,2DF,(2003-01-10) 10 January 2003 (age 18)[25],England,2003-01-10,1
32,2DF,(2003-01-29) 29 January 2003 (age 18)[26],England,2003-01-29,1
34,2DF,(2003-02-05) 5 February 2003 (age 18)[27],England,2003-02-05,2
36,3MF,(2003-10-29) 29 October 2003 (age 17),England,2003-10-29,10
37,3MF,(2003-03-06) 6 March 2003 (age 18),England,2003-03-06,3
38,3MF,(2003-01-21) 21 January 2003 (age 18)[28],England,2003-01-21,1
39,3MF,(2003-11-03) 3 November 2003 (age 17),England,2003-11-03,11
40,3MF,(2003-09-11) 11 September 2003 (age 17)[29],England,2003-09-11,9
42,4FW,(2003-04-21) 21 April 2003 (age 18),England,2003-04-21,4
43,4FW,(2003-06-21) 21 June 2003 (age 18),England,2003-06-21,6
44,4FW,(2003-04-02) 2 April 2003 (age 18),England,2003-04-02,4
45,4FW,(2003-02-15) 15 February 2003 (age 18)[30],England,2003-02-15,2
46,4FW,(2003-01-03) 3 January 2003 (age 18)[31],England,2003-01-03,1
47,4FW,(2003-10-12) 12 October 2003 (age 17),England,2003-10-12,10
48,4FW,(2003-02-26) 26 February 2003 (age 18),England,2003-02-26,2
49,1GK,(2002-04-24)24 April 2002 (aged 17),Germany,2002-04-24,4
50,2DF,(2002-01-19)19 January 2002 (aged 17),Germany,2002-01-19,1
51,2DF,(2002-07-12)12 July 2002 (aged 16),Germany,2002-07-12,7
52,2DF,(2002-02-12)12 February 2002 (aged 17),Germany,2002-02-12,2
53,2DF,(2002-05-23)23 May 2002 (aged 16),Germany,2002-05-23,5
54,3MF,(2002-03-26)26 March 2002 (aged 17),Germany,2002-03-26,3
55,3MF,(2002-10-10)10 October 2002 (aged 16),Germany,2002-10-10,10
56,3MF,(2002-05-28)28 May 2002 (aged 16),Germany,2002-05-28,5
57,4FW,(2002-02-14)14 February 2002 (aged 17),Germany,2002-02-14,2
58,3MF,(2002-02-24)24 February 2002 (aged 17),Germany,2002-02-24,2
59,4FW,(2002-04-02)2 April 2002 (aged 17),Germany,2002-04-02,4
60,1GK,(2002-05-25)25 May 2002 (aged 16),Germany,2002-05-25,5
61,3MF,(2002-04-08)8 April 2002 (aged 17),Germany,2002-04-08,4
62,4FW,(2002-10-17)17 October 2002 (aged 16),Germany,2002-10-17,10
63,3MF,(2002-01-25)25 January 2002 (aged 17),Germany,2002-01-25,1
64,2DF,(2002-08-26)26 August 2002 (aged 16),Germany,2002-08-26,8
65,3MF,(2002-01-18)18 January 2002 (aged 17),Germany,2002-01-18,1
66,4FW,(2002-10-27)27 October 2002 (aged 16),Germany,2002-10-27,10
67,2DF,(2003-05-15)15 May 2003 (aged 15),Germany,2003-05-15,5
68,2DF,(2002-02-09)9 February 2002 (aged 17),Germany,2002-02-09,2
69,1GK,(2002-05-19) 19 May 2002 (age 19),Italy,2002-05-19,5
70,1GK,(2002-12-04) 4 December 2002 (age 18),Italy,2002-12-04,12
71,1GK,(2002-06-19) 19 June 2002 (age 19),Italy,2002-06-19,6
73,2DF,(2002-01-11) 11 January 2002 (age 19),Italy,2002-01-11,1
74,2DF,(2002-07-11) 11 July 2002 (age 19),Italy,2002-07-11,7
75,2DF,(2002-02-02) 2 February 2002 (age 19),Italy,2002-02-02,2
76,2DF,(2002-02-20) 20 February 2002 (age 19),Italy,2002-02-20,2
77,2DF,(2002-11-28) 28 November 2002 (age 18),Italy,2002-11-28,11
78,2DF,(2002-08-26) 26 August 2002 (age 18),Italy,2002-08-26,8
79,2DF,(2002-02-06) 6 February 2002 (age 19),Italy,2002-02-06,2
80,2DF,(2002-02-26) 26 February 2002 (age 19),Italy,2002-02-26,2
82,3MF,(2002-06-02) 2 June 2002 (age 19),Italy,2002-06-02,6
83,3MF,(2002-04-16) 16 April 2002 (age 19),Italy,2002-04-16,4
84,3MF,(2002-04-20) 20 April 2002 (age 19),Italy,2002-04-20,4
85,3MF,(2002-03-13) 13 March 2002 (age 19),Italy,2002-03-13,3
86,3MF,(2003-03-28) 28 March 2003 (age 18),Italy,2003-03-28,3
87,3MF,(2002-07-06) 6 July 2002 (age 19),Italy,2002-07-06,7
88,3MF,(2002-09-28) 28 September 2002 (age 18),Italy,2002-09-28,9
90,4FW,(2003-11-05) 5 November 2003 (age 17),Italy,2003-11-05,11
91,3MF,(2002-04-02) 2 April 2002 (age 19),Italy,2002-04-02,4
92,4FW,(2002-08-07) 7 August 2002 (age 18),Italy,2002-08-07,8
93,4FW,(2002-03-18) 18 March 2002 (age 19),Italy,2002-03-18,3
94,1GK,(2002-01-18)18 January 2002 (aged 18),France,2002-01-18,1
95,1GK,(2002-03-16)16 March 2002 (aged 18),France,2002-03-16,3
96,2DF,(2002-11-24)24 November 2002 (aged 17),France,2002-11-24,11
97,2DF,(2002-02-08)8 February 2002 (aged 18),France,2002-02-08,2
98,2DF,(2002-06-07)7 June 2002 (aged 17),France,2002-06-07,6
99,2DF,(2002-05-15)15 May 2002 (aged 17),France,2002-05-15,5
100,2DF,(2002-09-03)3 September 2002 (aged 17),France,2002-09-03,9
101,2DF,(2002-02-21)21 February 2002 (aged 18),France,2002-02-21,2
102,2DF,(2002-01-14)14 January 2002 (aged 18),France,2002-01-14,1
103,3MF,(2002-02-09)9 February 2002 (aged 18),France,2002-02-09,2
104,3MF,(2002-07-15)15 July 2002 (aged 17),France,2002-07-15,7
105,3MF,(2002-10-22)22 October 2002 (aged 17),France,2002-10-22,10
106,3MF,(2002-07-17)17 July 2002 (aged 17),France,2002-07-17,7
107,3MF,(2002-05-18)18 May 2002 (aged 17),France,2002-05-18,5
108,4FW,(2002-08-26)26 August 2002 (aged 17),France,2002-08-26,8
109,4FW,(2002-04-10)10 April 2002 (aged 17),France,2002-04-10,4
110,4FW,(2002-03-16)16 March 2002 (aged 18),France,2002-03-16,3
111,4FW,(2002-05-11)11 May 2002 (aged 17),France,2002-05-11,5
112,4FW,(2002-04-20)20 April 2002 (aged 17),France,2002-04-20,4
113,4FW,(2002-03-07)7 March 2002 (aged 18),France,2002-03-07,3
114,1GK,(2002-07-04) 4 July 2002 (age 19),Vietnam,2002-07-04,7
115,1GK,(2002-04-18) 18 April 2002 (age 19),Vietnam,2002-04-18,4
116,1GK,(2002-05-30) 30 May 2002 (age 19),Vietnam,2002-05-30,5
118,2DF,(2002-04-24) 24 April 2002 (age 19),Vietnam,2002-04-24,4
119,2DF,(2002-02-02) 2 February 2002 (age 19),Vietnam,2002-02-02,2
120,2DF,(2002-04-27) 27 April 2002 (age 19),Vietnam,2002-04-27,4
121,2DF,(2003-08-05) 5 August 2003 (age 17),Vietnam,2003-08-05,8
122,2DF,(2002-04-04) 4 April 2002 (age 19),Vietnam,2002-04-04,4
123,2DF,(2002-11-07) 7 November 2002 (age 18),Vietnam,2002-11-07,11
124,2DF,(2002-10-14) 14 October 2002 (age 18),Vietnam,2002-10-14,10
126,3MF,(2002-01-14) 14 January 2002 (age 19),Vietnam,2002-01-14,1
127,3MF,(2002-04-10) 10 April 2002 (age 19),Vietnam,2002-04-10,4
128,3MF,(2002-01-22) 22 January 2002 (age 19),Vietnam,2002-01-22,1
129,3MF,(2002-03-16) 16 March 2002 (age 19),Vietnam,2002-03-16,3
130,3MF,(2003-05-11) 11 May 2003 (age 18),Vietnam,2003-05-11,5
131,3MF,(2003-01-17) 17 January 2003 (age 18),Vietnam,2003-01-17,1
132,3MF,(2002-03-07) 7 March 2002 (age 19),Vietnam,2002-03-07,3
133,3MF,(2002-06-03) 3 June 2002 (age 19),Vietnam,2002-06-03,6
134,3MF,(2002-12-11) 11 December 2002 (age 18),Vietnam,2002-12-11,12
136,4FW,(2002-05-16) 16 May 2002 (age 19),Vietnam,2002-05-16,5
137,4FW,(2003-03-01) 1 March 2003 (age 18),Vietnam,2003-03-01,3
138,4FW,(2002-04-18) 18 April 2002 (age 19),Vietnam,2002-04-18,4
139,4FW,(2002-05-19) 19 May 2002 (age 19),Vietnam,2002-05-19,5
